Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score
Nike Zoom Vomero 5,Men's Shoes,170,170,0,Grey,Dark Smoke Grey/Light Smoke Grey/Dark Smoke Grey/Smoke Grey,,0,0,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dark Smoke Grey,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Purple,Vivid Purple/Metallic Silver/Black,,0,0,2,3,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Vivid Purple,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Grey,Metallic Silver/Flat Silver/Light Crimson/Black,,0,0,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Metallic Silver,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Grey,Cool Grey/Wolf Grey/White,,0,0,2,3,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cool Grey,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Grey,Cave Stone/Multi-Color/Medium Ash/Metallic Silver,,0,0,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cave Stone,4,2,0
Nike Zoom Vomero 5,Men's Shoes,160,160,0,Brown,Light Orewood Brown/Light Orewood Brown,,0,0,2,2,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Light Orewood Brown,4,2,0
Nike Zoom Vomero 5 SE SP,Men's Shoes,160,160,0,Grey,Dark Grey/White/Sail/Black,,0,0,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dark Grey,6,2,0
Nike Air Pegasus 2005,Men's Shoes,150,150,0,Brown,Pale Ivory/Coconut Milk/Black/Metallic Silver,Just In,0,0,2,4,1,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pale Ivory,4,2,0
Nike Air Pegasus 2005,Men's Shoes,150,150,0,Yellow,Volt/Black/Barely Volt/Volt,,0,0,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Volt,4,2,0
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,Grey,Light Pumice/Smoke Grey/Metallic Silver/Dark Smoke Grey,,60.03,1,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Light Pumice,4,2,40
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,White,White/Black/Metallic Silver,,60.03,1,1,3,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,White,4,2,40
Nike Air Pegasus 2005,Men's Shoes,105.97,150,29,White,White/Total Orange/Hyper Violet/Chrome,,44.03,1,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,White,4,2,29
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,Grey,Metallic Silver/Black/White/Bicoastal,Member Product,60.03,1,1,4,0,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Metallic Silver,4,2,40
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,Grey,Metallic Silver/Flat Silver/Black/Metallic Platinum,,60.03,1,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Metallic Silver,4,2,40
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,White,White/Black/Metallic Silver/Royal Pulse,,60.03,1,1,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,White,4,2,40
Nike Air Pegasus 2005,Men's Shoes,160,160,0,White,Coconut Milk/Light Silver/Light British Tan/Bicoastal,,0,0,2,4,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Coconut Milk,4,2,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Black,Black/White,Best Seller,0,0,2,2,0,1,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Black,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,Orange,Desert Orange/Black/White,Best Seller,36.03,1,1,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Desert Orange,4,3,30
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,Yellow,Light Lemon Twist/Cement Grey/Black/Light Lemon Twist,Best Seller,36.03,1,1,4,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Light Lemon Twist,4,3,30
