Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge
"Sabrina 2 ""Mirrored""",Basketball Shoes,130,130,0,Black,Black/Smoke Grey/Opti Yellow/Metallic Silver,Best Seller
"Sabrina 2 ""United""",Basketball Shoes,130,130,0,Red,Sport Red/College Navy/White,Best Seller
"Sabrina 2 ""White Noise""",Basketball Shoes,130,130,0,White,White/Summit White/Glacier Blue/Metallic Silver,Best Seller
Sabrina 2,Basketball Shoes,130,130,0,White,Coconut Milk/Light Bone/Sail/Baroque Brown,Best Seller
Sabrina 2,Basketball Shoes,130,130,0,Grey,Wolf Grey/Smoke Grey/Volt/Black,Best Seller
Sabrina 2,Basketball Shoes,130,130,0,White,White/Photon Dust/Volt/Black,Best Seller
Sabrina 2,Basketball Shoes,130,130,0,Green,Gorge Green/Volt/White,Best Seller
Sabrina 2,Basketball Shoes,130,130,0,Blue,Game Royal/Deep Royal Blue/Photo Blue/White,Best Seller
Sabrina 2,Basketball Shoes,130,130,0,Blue,College Navy/Dark Obsidian/Photo Blue/White,Best Seller
Sabrina 2,Basketball Shoes,130,130,0,Red,University Red/Gym Red/Bright Crimson/White,Best Seller
"Ja 2 ""Purple Sky""",Basketball Shoes,120,120,0,Purple,Bold Berry/Light Lemon Twist/Dark Raisin/Baltic Blue,Best Seller
Ja 2,Basketball Shoes,120,120,0,Yellow,Light Lemon Twist/Light Army/Cargo Khaki/Total Orange,Best Seller
"Ja 2 ""Foundation""",Basketball Shoes,120,120,0,Black,Black/Light Smoke Grey/Light Lemon Twist/Phantom,Best Seller
"Ja 2 ""In the Woods""",Basketball Shoes,120,120,0,White,White/Hemp/Vintage Green/Astronomy Blue,Best Seller
Air Jordan 4 RM,Men's Shoes,160,160,0,Black,Black/Wolf Grey/White/Fire Red,Just In
Air Jordan 4 RM,Men's Shoes,112.97,150,24,Grey,Iron Grey/Off Noir/Dark Smoke Grey/Chambray,Best Seller
Air Jordan 4 RM,Men's Shoes,150,150,0,Black,Black/Anthracite/Varsity Red,Best Seller
Air Jordan 4 RM,Men's Shoes,150,150,0,Black,Black/White,Best Seller
Air Jordan 4 RM,Men's Shoes,150,150,0,Black,Black/Sail/Coconut Milk/Gym Red,Best Seller
Jordan Flight Court,Men's Shoes,100,100,0,Green,Malachite/Infrared 23/Muslin/Sail,Just In
