,Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score,Sale Quantity,Label,High_Sales
2412,Nike Air Max 97 By You,Custom Women's Shoes,190.0,190,0,White,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Multi-Color,6,3,8,511,0,0
2413,Nike Air Max 97 By You,Custom Women's Shoes,190.0,190,0,Blue,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Multi-Color,6,3,10,365,0,0
2414,Nike Air Max 97 By You,Custom Women's Shoes,190.0,190,0,White,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Multi-Color,6,3,7,852,0,1
2415,Nike Air Max 97 By You,Custom Women's Shoes,190.0,190,0,Black,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Multi-Color,6,3,6,932,0,1
2416,Nike Air Max 97 By You,Custom Women's Shoes,190.0,190,0,Blue,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Multi-Color,6,3,6,824,0,1
2417,Nike Air Max 97 By You,Custom Women's Shoes,190.0,190,0,Grey,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Multi-Color,6,3,6,34,0,0
2418,Nike Free RN By You,Custom Women's Road Running Shoes,130.0,130,0,Blue,Fierce Pink/Red Stardust/Fierce Pink,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Fierce Pink,5,5,9,385,0,0
2419,Nike Free RN By You,Custom Women's Road Running Shoes,130.0,130,0,Pink,Fierce Pink/Red Stardust/Fierce Pink,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Fierce Pink,5,5,9,745,0,0
2420,Nike Free RN By You,Custom Women's Road Running Shoes,130.0,130,0,White,Fierce Pink/Red Stardust/Fierce Pink,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fierce Pink,5,5,7,653,0,0
2421,Nike Free RN By You,Custom Women's Road Running Shoes,130.0,130,0,Black,Fierce Pink/Red Stardust/Fierce Pink,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Fierce Pink,5,5,7,539,0,0
2422,Nike Free RN By You,Custom Women's Road Running Shoes,130.0,130,0,White,Fierce Pink/Red Stardust/Fierce Pink,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fierce Pink,5,5,7,893,0,1
2423,Nike Free RN By You,Custom Women's Road Running Shoes,130.0,130,0,Red,Fierce Pink/Red Stardust/Fierce Pink,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fierce Pink,5,5,2,461,0,0
2424,Nike Dunk Low Premium Fleece By You ,Custom Men's Shoes,150.0,150,0,White,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Multi-Color,7,3,6,836,0,1
2425,Nike Dunk Low Premium Fleece By You ,Custom Men's Shoes,150.0,150,0,Black,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Multi-Color,7,3,9,665,0,0
2426,Nike Dunk Low Premium Fleece By You ,Custom Men's Shoes,150.0,150,0,White,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Multi-Color,7,3,9,865,0,1
2427,Nike Dunk Low Premium Fleece By You ,Custom Men's Shoes,150.0,150,0,Black,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Multi-Color,7,3,9,612,0,0
2428,Sabrina 2 By Derrick White,Custom Basketball Shoes,160.0,160,0,Grey,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Multi-Color,5,3,7,750,0,0
2429,KD16 By You,Custom Basketball Shoes,190.0,190,0,Green,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Multi-Color,3,3,6,891,0,1
2430,Nike Pegasus Trail 5 By You,Custom Trail Running Shoes,170.0,170,0,Pink,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Multi-Color,6,4,3,26,0,0
2431,Converse Custom Chuck Taylor All Star Low Top,Unisex Shoe,80.0,80,0,White,Multi-Color/Multi-Color,Customize,0.0,0,1,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Multi-Color,8,2,6,880,0,1
2432,Nike Woodside II,Men's Boot,120.0,120,0,Brown,Dark Gold Leaf/Anthracite/Jersey Gold/Dark Gold Leaf,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Dark Gold Leaf,3,2,9,952,0,1
2433,KD16 By You,Custom Basketball Shoes,190.0,190,0,Grey,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Multi-Color,3,3,10,527,0,0
2434,KD16 By You,Custom Basketball Shoes,190.0,190,0,Black,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Multi-Color,3,3,9,876,0,1
2435,KD16 By You,Custom Basketball Shoes,190.0,190,0,Blue,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Multi-Color,3,3,5,4,0,0
2436,KD16 By You,Custom Basketball Shoes,190.0,190,0,White,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Multi-Color,3,3,6,506,0,0
2437,KD16 By You,Custom Basketball Shoes,190.0,190,0,Pink,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Multi-Color,3,3,4,800,0,1
2438,Nike Dunk Low Unlocked By You,Custom Shoes,160.0,160,0,Pink,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Multi-Color,6,2,5,543,0,0
2439,Nike Air Max LTD 3,Men's Shoe,130.0,130,0,Black,Black/Black/Black,,0.0,0,2,3,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,5,2,7,613,0,0
2440,Sabrina 2 By Courtney Vandersloot,Custom Basketball Shoes,160.0,160,0,White,Multi-Color/Multi-Color,Customize,0.0,0,2,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Multi-Color,5,3,6,591,0,0
2441,Converse Custom Chuck Taylor All Star High Top,Unisex Shoe,85.0,85,0,White,Multi-Color/Multi-Color,Customize,0.0,0,1,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Multi-Color,8,2,9,544,0,0
